"Qualifying Name","Name of Area","FIPS","Nation","Metropolitan Statistical Area","County/County Subdivision","Total Population 2017","Median Family Income (5-year ACS)","Low Income Limits (Up to 80% of Local Area Median Income) for One Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Two Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Three Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Four Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Five Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Six Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Seven Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Eight Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for One Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Two Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Three Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Four Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Five Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Six Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Seven Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Eight Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for One Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Two Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Three Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Four Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Five Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Six Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Seven Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Eight Person Families","Fair Market Rent for Efficiency","Fair Market Rent for One Bedroom","Fair Market Rent for Two Bedrooms","Fair Market Rent for Three Bedrooms","Fair Market Rent for Four Bedrooms","FY 2020 Fair Market Rent (Two-Bedrooms)","FY 2019 Fair Market Rent (Two-Bedrooms)","Fair Market Rent (Two-Bedrooms) Percent Change between 2019 and 2020","Fair Market Rent (Two-Bedrooms) Dollar Change between 2019 and 2020"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_MSA,Geo_CCS,SE_T001_001,SE_T002_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T003_004,SE_T003_005,SE_T003_006,SE_T003_007,SE_T003_008,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002
"McMullen County, Texas","McMullen County","4831199999","00",,"31199999",600,71900,38450,43950,49450,54900,59300,63700,68100,72500,24050,27450,30900,34300,37050,39800,42550,45300,14450,17240,21720,26200,30680,35160,39640,44120,549,592,741,984,1114,741,751,-1.3316,-10
"Madison County, Texas","Madison County","4831399999","00",,"31399999",13980,59900,33550,38350,43150,47900,51750,55600,59400,63250,21000,24000,27000,29950,32350,34750,37150,39550,12760,17240,21720,26200,30680,34750,37150,39550,632,647,852,1062,1154,852,807,5.57621,45
"Marion County, Texas","Marion County","4831599999","00",,"31599999",10140,53500,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,570,714,937,1107,714,700,2,14
"Martin County, Texas","Martin County","4831799999","00",,"31799999",5545,88000,41550,47500,53450,59350,64100,68850,73600,78350,26000,29700,33400,37100,40100,43050,46050,49000,15600,17800,21720,26200,30680,35160,39640,44120,569,572,714,1030,1107,714,700,2,14
"Mason County, Texas","Mason County","4831999999","00",,"31999999",4120,63100,35350,40400,45450,50500,54550,58600,62650,66700,22100,25250,28400,31550,34100,36600,39150,41650,13300,17240,21720,26200,30680,35160,39150,41650,660,699,879,1229,1354,879,976,-9.9385246,-97
"Matagorda County, Texas","Matagorda County","4832199999","00",,"32199999",36745,58600,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,605,609,742,933,1298,742,754,-1.5915,-12
"Maverick County, Texas","Maverick County","4832399999","00",,"32399999",57470,45100,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,539,542,714,890,1093,714,711,0.421941,3
"Medina County, Texas","Medina County","4832599999","00",,"32599999",48550,74200,41550,47500,53450,59350,64100,68850,73600,78350,26000,29700,33400,37100,40100,43050,46050,49000,15600,17800,21720,26200,30680,35160,39640,44120,545,618,814,1073,1312,814,806,0.99256,8
"Menard County, Texas","Menard County","4832799999","00",,"32799999",2125,53700,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,570,714,890,1074,714,710,0.56338,4
"Midland County, Texas","Midland County","4832999999","00",,"32999999",159885,90700,50800,58050,65300,72550,78400,84200,90000,95800,31750,36300,40850,45350,49000,52650,56250,59900,19050,21800,24500,27200,30680,35160,39640,44120,1073,1080,1349,1681,2123,1349,1337,0.89753,12
"Milam County, Texas","Milam County","4833199999","00",,"33199999",24480,58100,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,581,714,1001,1254,714,700,2,14
"Mills County, Texas","Mills County","4833399999","00",,"33399999",4885,62500,35000,40000,45000,50000,54000,58000,62000,66000,21900,25000,28150,31250,33750,36250,38750,41250,13150,17240,21720,26200,30680,35160,38750,41250,529,570,714,890,1074,714,700,2,14
"Mitchell County, Texas","Mitchell County","4833599999","00",,"33599999",8775,70800,39700,45350,51000,56650,61200,65750,70250,74800,24800,28350,31900,35400,38250,41100,43900,46750,14900,17240,21720,26200,30680,35160,39640,44120,529,542,714,910,1110,714,700,2,14
"Montague County, Texas","Montague County","4833799999","00",,"33799999",19405,55400,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,625,640,843,1051,1268,843,865,-2.5434,-22
"Montgomery County, Texas","Montgomery County","4833999999","00",,"33999999",535185,78800,44150,50450,56750,63050,68100,73150,78200,83250,27600,31550,35500,39400,42600,45750,48900,52050,16600,18950,21720,26200,30680,35160,39640,44120,826,908,1096,1485,1878,1096,1104,-0.72464,-8
"Moore County, Texas","Moore County","4834199999","00",,"34199999",22015,61900,34650,39600,44550,49500,53500,57450,61400,65350,21700,24800,27900,30950,33450,35950,38400,40900,13000,17240,21720,26200,30680,35160,38400,40900,558,591,752,945,1131,752,746,0.80429,6
"Morris County, Texas","Morris County","4834399999","00",,"34399999",12530,55000,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,465,542,714,1030,1238,714,700,2,14
"Motley County, Texas","Motley County","4834599999","00",,"34599999",1115,55100,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,570,714,948,1074,714,700,2,14
"Nacogdoches County, Texas","Nacogdoches County","4834799999","00",,"34799999",65410,65100,35500,40550,45600,50650,54750,58800,62850,66900,22200,25350,28500,31650,34200,36750,39250,41800,13300,17240,21720,26200,30680,35160,39250,41800,540,670,817,1071,1243,817,831,-1.6847,-14
"Navarro County, Texas","Navarro County","4834999999","00",,"34999999",48240,55600,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,597,601,792,1118,1253,792,779,1.66881,13
"Newton County, Texas","Newton County","4835199999","00",,"35199999",14185,54600,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,521,575,714,979,982,714,700,2,14
"Nolan County, Texas","Nolan County","4835399999","00",,"35399999",14990,60400,33850,38650,43500,48300,52200,56050,59900,63800,21150,24200,27200,30200,32650,35050,37450,39900,12760,17240,21720,26200,30680,35050,37450,39900,529,542,714,937,1254,714,700,2,14
"Nueces County, Texas","Nueces County","4835599999","00",,"35599999",358485,66600,37350,42650,48000,53300,57600,61850,66100,70400,23350,26650,30000,33300,36000,38650,41300,44000,14000,17240,21720,26200,30680,35160,39640,44000,744,789,999,1336,1553,999,1110,-10,-111
"Ochiltree County, Texas","Ochiltree County","4835799999","00",,"35799999",10485,62200,34850,39800,44800,49750,53750,57750,61700,65700,21800,24900,28000,31100,33600,36100,38600,41100,13100,17240,21720,26200,30680,35160,38600,41100,546,588,736,934,1143,736,750,-1.8667,-14
"Oldham County, Texas","Oldham County","4835999999","00",,"35999999",2085,80000,42350,48400,54450,60500,65350,70200,75050,79900,26500,30250,34050,37800,40850,43850,46900,49900,15900,18200,21720,26200,30680,35160,39640,44120,673,764,986,1229,1508,986,956,3.13808,30
"Orange County, Texas","Orange County","4836199999","00",,"36199999",83910,67500,37800,43200,48600,54000,58350,62650,67000,71300,23650,27000,30400,33750,36450,39150,41850,44550,14200,17240,21720,26200,30680,35160,39640,44120,623,688,857,1115,1180,857,920,-6.8478261,-63
"Palo Pinto County, Texas","Palo Pinto County","4836399999","00",,"36399999",28110,57400,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,526,599,771,1031,1227,771,783,-1.5326,-12
"Panola County, Texas","Panola County","4836599999","00",,"36599999",23575,61100,34250,39150,44050,48900,52850,56750,60650,64550,21400,24450,27500,30550,33000,35450,37900,40350,12850,17240,21720,26200,30680,35160,37900,40350,549,563,741,923,1073,741,729,1.64609,12
"Parker County, Texas","Parker County","4836799999","00",,"36799999",125965,81500,45650,52200,58700,65200,70450,75650,80850,86100,28550,32600,36700,40750,44050,47300,50550,53800,17150,19600,22050,26200,30680,35160,39640,44120,838,945,1165,1579,1980,1165,1068,9.082397,97
"Parmer County, Texas","Parmer County","4836999999","00",,"36999999",9870,57400,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,627,714,940,1254,714,700,2,14
"Pecos County, Texas","Pecos County","4837199999","00",,"37199999",15805,74200,41550,47500,53450,59350,64100,68850,73600,78350,26000,29700,33400,37100,40100,43050,46050,49000,15600,17800,21720,26200,30680,35160,39640,44120,626,646,844,1162,1482,844,817,3.30477,27
"Polk County, Texas","Polk County","4837399999","00",,"37399999",46975,57600,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,516,577,732,1000,1062,732,753,-2.7888,-21
"Potter County, Texas","Potter County","4837599999","00",,"37599999",121230,66900,38150,43600,49050,54500,58900,63250,67600,71950,23850,27250,30650,34050,36800,39500,42250,44950,14350,17240,21720,26200,30680,35160,39640,44120,596,675,872,1192,1334,872,849,2.70907,23
"Presidio County, Texas","Presidio County","4837799999","00",,"37799999",7190,36900,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,570,714,1030,1074,714,700,2,14
"Rains County, Texas","Rains County","4837999999","00",,"37999999",11245,63900,35800,40900,46000,51100,55200,59300,63400,67500,22400,25600,28800,31950,34550,37100,39650,42200,13450,17240,21720,26200,30680,35160,39640,42200,518,594,714,964,975,714,700,2,14
"Randall County, Texas","Randall County","4838199999","00",,"38199999",130550,66900,38150,43600,49050,54500,58900,63250,67600,71950,23850,27250,30650,34050,36800,39500,42250,44950,14350,17240,21720,26200,30680,35160,39640,44120,596,675,872,1192,1334,872,849,2.70907,23
"Reagan County, Texas","Reagan County","4838399999","00",,"38399999",3735,79700,44650,51000,57400,63750,68850,73950,79050,84150,27900,31900,35900,39850,43050,46250,49450,52650,16750,19150,21720,26200,30680,35160,39640,44120,584,620,787,981,1183,787,749,5.07343,38
"Real County, Texas","Real County","4838599999","00",,"38599999",3360,53900,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,597,643,805,1076,1211,805,752,7.0478723,53
"Red River County, Texas","Red River County","4838799999","00",,"38799999",12355,47400,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,542,714,890,1074,714,700,2,14
"Reeves County, Texas","Reeves County","4838999999","00",,"38999999",14790,63300,35500,40550,45600,50650,54750,58800,62850,66900,22200,25350,28500,31650,34200,36750,39250,41800,13300,17240,21720,26200,30680,35160,39250,41800,552,654,744,1043,1119,744,723,2.90456,21
"Refugio County, Texas","Refugio County","4839199999","00",,"39199999",7295,63400,35500,40600,45650,50700,54800,58850,62900,66950,22200,25400,28550,31700,34250,36800,39350,41850,13300,17240,21720,26200,30680,35160,39350,41850,543,643,732,918,1101,732,751,-2.53,-19
"Roberts County, Texas","Roberts County","4839399999","00",,"39399999",890,95700,53600,61250,68900,76550,82700,88800,94950,101050,33500,38300,43100,47850,51700,55550,59350,63200,20100,23000,25850,28700,31000,35160,39640,44120,549,592,741,984,1114,741,751,-1.3316,-10
"Robertson County, Texas","Robertson County","4839599999","00",,"39599999",16725,65600,36750,42000,47250,52500,56700,60900,65100,69300,23000,26250,29550,32800,35450,38050,40700,43300,13800,17240,21720,26200,30680,35160,39640,43300,682,791,938,1353,1647,938,911,2.96378,27
"Rockwall County, Texas","Rockwall County","4839799999","00",,"39799999",90415,86200,48300,55200,62100,68950,74500,80000,85500,91050,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,26200,30680,35160,39640,44120,957,1093,1314,1727,2262,1314,1201,9.408826,113
"Runnels County, Texas","Runnels County","4839999999","00",,"39999999",10265,53800,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,542,714,890,967,714,700,2,14
"Rusk County, Texas","Rusk County","4840199999","00",,"40199999",53025,59800,33500,38300,43100,47850,51700,55550,59350,63200,20950,23950,26950,29900,32300,34700,37100,39500,12760,17240,21720,26200,30680,34700,37100,39500,562,621,818,1058,1337,818,792,3.28283,26
"Sabine County, Texas","Sabine County","4840399999","00",,"40399999",10430,44100,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,627,714,1030,1074,714,700,2,14
"San Augustine County, Texas","San Augustine County","4840599999","00",,"40599999",8405,51700,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,539,554,727,906,1093,727,735,-1.0884,-8
"San Jacinto County, Texas","San Jacinto County","4840799999","00",,"40799999",27435,59600,33400,38200,42950,47700,51550,55350,59150,63000,20900,23850,26850,29800,32200,34600,37000,39350,12760,17240,21720,26200,30680,34600,37000,39350,529,570,714,964,967,714,700,2,14
"San Patricio County, Texas","San Patricio County","4840999999","00",,"40999999",66865,66600,37350,42650,48000,53300,57600,61850,66100,70400,23350,26650,30000,33300,36000,38650,41300,44000,14000,17240,21720,26200,30680,35160,39640,44000,744,789,999,1336,1553,999,1110,-10,-111
"San Saba County, Texas","San Saba County","4841199999","00",,"41199999",5850,55200,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,542,714,977,1074,714,700,2,14
"Schleicher County, Texas","Schleicher County","4841399999","00",,"41399999",3120,76600,42950,49050,55200,61300,66250,71150,76050,80950,26850,30650,34500,38300,41400,44450,47500,50600,16100,18400,21720,26200,30680,35160,39640,44120,549,592,741,984,1114,741,700,5.85714,41
"Scurry County, Texas","Scurry County","4841599999","00",,"41599999",17345,72900,40850,46650,52500,58300,63000,67650,72300,77000,25550,29200,32850,36450,39400,42300,45200,48150,15300,17500,21720,26200,30680,35160,39640,44120,620,677,836,1122,1375,836,851,-1.7626,-15
"Shackelford County, Texas","Shackelford County","4841799999","00",,"41799999",3350,60500,33900,38750,43600,48400,52300,56150,60050,63900,21200,24200,27250,30250,32700,35100,37550,39950,12760,17240,21720,26200,30680,35100,37550,39950,529,570,714,1030,1074,714,700,2,14
"Shelby County, Texas","Shelby County","4841999999","00",,"41999999",25690,50000,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,542,714,928,1178,714,700,2,14
"Sherman County, Texas","Sherman County","4842199999","00",,"42199999",3065,66300,37150,42450,47750,53050,57300,61550,65800,70050,23250,26550,29850,33150,35850,38500,41150,43800,13950,17240,21720,26200,30680,35160,39640,43800,529,627,714,983,987,714,700,2,14
"Smith County, Texas","Smith County","4842399999","00",,"42399999",222275,65600,37450,42800,48150,53500,57800,62100,66350,70650,23450,26800,30150,33450,36150,38850,41500,44200,14050,17240,21720,26200,30680,35160,39640,44120,762,765,923,1175,1512,923,908,1.65198,15
"Somervell County, Texas","Somervell County","4842599999","00",,"42599999",8650,62700,35150,40150,45150,50150,54200,58200,62200,66200,21950,25100,28250,31350,33900,36400,38900,41400,13200,17240,21720,26200,30680,35160,38900,41400,636,731,879,1258,1504,879,815,7.8527607,64
"Starr County, Texas","Starr County","4842799999","00",,"42799999",63420,32500,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,563,714,892,1074,714,700,2,14
"Stephens County, Texas","Stephens County","4842999999","00",,"42999999",9365,58200,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,556,714,1030,1074,714,700,2,14
"Sterling County, Texas","Sterling County","4843199999","00",,"43199999",1140,72000,40350,46100,51850,57600,62250,66850,71450,76050,25200,28800,32400,36000,38900,41800,44650,47550,15150,17300,21720,26200,30680,35160,39640,44120,549,592,741,984,1114,741,751,-1.3316,-10
"Stonewall County, Texas","Stonewall County","4843399999","00",,"43399999",1085,75300,40150,45850,51600,57300,61900,66500,71100,75650,25100,28650,32250,35800,38700,41550,44400,47300,15050,17240,21720,26200,30680,35160,39640,44120,549,592,741,984,1114,741,751,-1.3316,-10
"Sutton County, Texas","Sutton County","4843599999","00",,"43599999",3895,65700,36800,42050,47300,52550,56800,61000,65200,69400,23000,26300,29600,32850,35500,38150,40750,43400,13800,17240,21720,26200,30680,35160,39640,43400,529,627,714,948,1074,714,700,2,14
"Swisher County, Texas","Swisher County","4843799999","00",,"43799999",7540,49600,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,542,714,963,972,714,700,2,14
"Tarrant County, Texas","Tarrant County","4843999999","00",,"43999999",1983675,81500,45650,52200,58700,65200,70450,75650,80850,86100,28550,32600,36700,40750,44050,47300,50550,53800,17150,19600,22050,26200,30680,35160,39640,44120,838,945,1165,1579,1980,1165,1068,9.082397,97
"Taylor County, Texas","Taylor County","4844199999","00",,"44199999",135370,64800,36300,41500,46700,51850,56000,60150,64300,68450,22700,25950,29200,32400,35000,37600,40200,42800,13650,17240,21720,26200,30680,35160,39640,42800,631,655,863,1134,1464,863,822,4.98783,41
"Terrell County, Texas","Terrell County","4844399999","00",,"44399999",720,58900,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,604,651,815,1083,1226,815,836,-2.512,-21
"Terry County, Texas","Terry County","4844599999","00",,"44599999",12755,50200,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,542,714,964,967,714,724,-1.3812,-10
"Throckmorton County, Texas","Throckmorton County","4844799999","00",,"44799999",1540,61800,34650,39600,44550,49450,53450,57400,61350,65300,21650,24750,27850,30900,33400,35850,38350,40800,13000,17240,21720,26200,30680,35160,38350,40800,529,570,714,1030,1074,714,700,2,14
"Titus County, Texas","Titus County","4844999999","00",,"44999999",32665,54100,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,570,591,714,944,1254,714,700,2,14
"Tom Green County, Texas","Tom Green County","4845199999","00",,"45199999",116905,72400,39200,44800,50400,56000,60500,65000,69450,73950,24500,28000,31500,35000,37800,40600,43400,46200,14700,17240,21720,26200,30680,35160,39640,44120,627,740,963,1284,1529,963,958,0.521921,5
"Travis County, Texas","Travis County","4845399999","00",,"45399999",1176585,97600,54700,62500,70300,78100,84350,90600,96850,103100,34200,39050,43950,48800,52750,56650,60550,64450,20550,23450,26400,29300,31650,35160,39640,44120,988,1134,1356,1763,2128,1356,1315,3.11787,41
"Trinity County, Texas","Trinity County","4845599999","00",,"45599999",14480,45500,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,598,612,806,1004,1212,806,803,0.373599,3
"Tyler County, Texas","Tyler County","4845799999","00",,"45799999",21455,63800,35750,40850,45950,51050,55150,59250,63350,67400,22350,25550,28750,31900,34500,37050,39600,42150,13450,17240,21720,26200,30680,35160,39600,42150,529,627,714,900,1254,714,708,0.84746,6
"Upshur County, Texas","Upshur County","4845999999","00",,"45999999",40505,64800,35500,40550,45600,50650,54750,58800,62850,66900,22200,25350,28500,31650,34200,36750,39250,41800,13300,17240,21720,26200,30680,35160,39250,41800,616,781,918,1228,1464,918,910,0.87912,8
"Upton County, Texas","Upton County","4846199999","00",,"46199999",3575,71700,40150,45900,51650,57350,61950,66550,71150,75750,25100,28700,32300,35850,38750,41600,44500,47350,15050,17240,21720,26200,30680,35160,39640,44120,529,627,714,1024,1074,714,700,2,14
"Uvalde County, Texas","Uvalde County","4846399999","00",,"46399999",27015,56100,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,609,627,714,890,1074,714,700,2,14
"Val Verde County, Texas","Val Verde County","4846599999","00",,"46599999",48975,54600,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,542,714,964,967,714,717,-0.41841,-3
"Van Zandt County, Texas","Van Zandt County","4846799999","00",,"46799999",53605,62700,35150,40150,45150,50150,54200,58200,62200,66200,21950,25100,28250,31350,33900,36400,38900,41400,13200,17240,21720,26200,30680,35160,38900,41400,568,582,766,1054,1131,766,771,-0.64851,-5
"Victoria County, Texas","Victoria County","4846999999","00",,"46999999",91520,68800,38550,44050,49550,55050,59500,63900,68300,72700,24100,27550,31000,34400,37200,39950,42700,45450,14500,17240,21720,26200,30680,35160,39640,44120,707,815,1002,1296,1429,1002,960,4.375,42
"Walker County, Texas","Walker County","4847199999","00",,"47199999",70820,55500,36300,41450,46650,51800,55950,60100,64250,68400,22650,25900,29150,32350,34950,37550,40150,42750,13600,17240,21720,26200,30680,35160,39640,42750,585,744,898,1119,1577,898,906,-0.883,-8
"Waller County, Texas","Waller County","4847399999","00",,"47399999",48445,78800,44150,50450,56750,63050,68100,73150,78200,83250,27600,31550,35500,39400,42600,45750,48900,52050,16600,18950,21720,26200,30680,35160,39640,44120,826,908,1096,1485,1878,1096,1104,-0.72464,-8
"Ward County, Texas","Ward County","4847599999","00",,"47599999",11500,80700,41800,47750,53700,59650,64450,69200,74000,78750,26150,29900,33650,37350,40350,43350,46350,49350,15700,17950,21720,26200,30680,35160,39640,44120,547,567,737,966,1108,737,728,1.23626,9
"Washington County, Texas","Washington County","4847799999","00",,"47799999",34665,71000,39800,45450,51150,56800,61350,65900,70450,75000,24850,28400,31950,35500,38350,41200,44050,46900,14950,17240,21720,26200,30680,35160,39640,44120,697,756,861,1073,1428,861,852,1.05634,9
"Webb County, Texas","Webb County","4847999999","00",,"47999999",269625,50600,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,683,687,862,1132,1293,862,857,0.583431,5
"Wharton County, Texas","Wharton County","4848199999","00",,"48199999",41430,61000,34200,39050,43950,48800,52750,56650,60550,64450,21350,24400,27450,30500,32950,35400,37850,40300,12850,17240,21720,26200,30680,35160,37850,40300,612,614,717,933,1259,717,772,-7.1243523,-55
"Wheeler County, Texas","Wheeler County","4848399999","00",,"48399999",5600,60900,34100,39000,43850,48700,52600,56500,60400,64300,21350,24400,27450,30450,32900,35350,37800,40200,12800,17240,21720,26200,30680,35160,37800,40200,529,627,714,890,1059,714,700,2,14
"Wichita County, Texas","Wichita County","4848599999","00",,"48599999",131780,64700,36150,41300,46450,51600,55750,59900,64000,68150,22600,25800,29050,32250,34850,37450,40000,42600,13550,17240,21720,26200,30680,35160,39640,42600,525,605,784,1079,1308,784,772,1.5544,12
"Wilbarger County, Texas","Wilbarger County","4848799999","00",,"48799999",12970,56400,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,529,627,714,1007,1107,714,700,2,14
"Willacy County, Texas","Willacy County","4848999999","00",,"48999999",21840,33300,33000,37700,42400,47100,50900,54650,58450,62200,20650,23600,26550,29450,31850,34200,36550,38900,12760,17240,21720,26200,30680,34200,36550,38900,540,543,714,950,967,714,700,2,14
"Williamson County, Texas","Williamson County","4849199999","00",,"49199999",508315,97600,54700,62500,70300,78100,84350,90600,96850,103100,34200,39050,43950,48800,52750,56650,60550,64450,20550,23450,26400,29300,31650,35160,39640,44120,988,1134,1356,1763,2128,1356,1315,3.11787,41
"Wilson County, Texas","Wilson County","4849399999","00",,"49399999",47205,72000,40350,46100,51850,57600,62250,66850,71450,76050,25200,28800,32400,36000,38900,41800,44650,47550,15150,17300,21720,26200,30680,35160,39640,44120,702,851,1051,1372,1691,1051,1050,0.0952381,1
"Winkler County, Texas","Winkler County","4849599999","00",,"49599999",7775,65900,36900,42200,47450,52700,56950,61150,65350,69600,23100,26400,29700,32950,35600,38250,40900,43500,13850,17240,21720,26200,30680,35160,39640,43500,529,570,714,1030,1074,714,700,2,14
"Wise County, Texas","Wise County","4849799999","00",,"49799999",63245,70800,39700,45350,51000,56650,61200,65750,70250,74800,24800,28350,31900,35400,38250,41100,43900,46750,14900,17240,21720,26200,30680,35160,39640,44120,902,929,1057,1317,1482,1057,1020,3.62745,37
"Wood County, Texas","Wood County","4849999999","00",,"49999999",43315,59100,33150,37850,42600,47300,51100,54900,58700,62450,20700,23650,26600,29550,31950,34300,36650,39050,12760,17240,21720,26200,30680,34300,36650,39050,561,579,756,1006,1327,756,761,-0.65703,-5
"Yoakum County, Texas","Yoakum County","4850199999","00",,"50199999",8480,73700,41300,47200,53100,58950,63700,68400,73100,77850,25800,29500,33200,36850,39800,42750,45700,48650,15500,17700,21720,26200,30680,35160,39640,44120,529,627,714,890,1074,714,700,2,14
